Linux 6.8.0-generic (host01) 	09/08/26 	_x86_64_	(32 CPU)

03:24:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:      19    0.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.66
Average:      20    0.66    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.00
Average:      21    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.67
Average:      22    0.33    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   99.00
Average:      23    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
Average:      24    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
Average:      25    0.34    0.00    0.34    0.34    0.00    0.00    0.00    0.00    0.00   98.99
Average:      26    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
Average:      27    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
Average:      28    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
Average:      29    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
Average:      30    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.34
Average:      31    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
